timestamp,open,high,low,close,volume,bid_size,ask_size,bid_depth,ask_depth,delta
2024-06-03 09:30:00,18496.91,18497.75,18496.34,18496.87,1375,688.3,686.7,2750.0,4125.0,-343.8
2024-06-03 09:31:00,18493.75,18494.2,18492.36,18493.49,1633,818.4,814.6,3266.0,4899.0,-408.2
2024-06-03 09:32:00,18490.04,18490.46,18488.84,18489.76,1359,723.4,635.6,2718.0,4077.0,-339.8
2024-06-03 09:33:00,18486.72,18487.2,18484.58,18485.88,408,218.1,189.9,816.0,1224.0,-102.0
2024-06-03 09:34:00,18483.84,18483.87,18480.9,18482.9,1619,839.6,779.4,3238.0,4857.0,-404.8
2024-06-03 09:35:00,18481.42,18481.98,18480.13,18481.08,648,352.1,295.9,1296.0,1944.0,-162.0
2024-06-03 09:36:00,18479.01,18479.35,18477.78,18478.45,1979,1015.7,963.3,3958.0,5937.0,-494.8
2024-06-03 09:37:00,18476.32,18476.91,18475.27,18475.91,1459,784.9,674.1,2918.0,4377.0,-364.8
2024-06-03 09:38:00,18473.04,18473.89,18471.65,18472.96,915,486.3,428.7,1830.0,2745.0,-228.8
2024-06-03 09:39:00,18471.08,18471.23,18469.24,18470.66,1006,524.9,481.1,2012.0,3018.0,-251.5
2024-06-03 09:40:00,18467.51,18468.31,18465.69,18467.05,1780,880.5,899.5,3560.0,5340.0,-445.0
2024-06-03 09:41:00,18464.94,18465.34,18464.23,18464.75,2002,1006.3,995.7,4004.0,6006.0,-500.5
2024-06-03 09:42:00,18462.71,18463.2,18460.09,18461.83,759,394.8,364.2,1518.0,2277.0,-189.8
2024-06-03 09:43:00,18458.91,18459.57,18456.52,18458.03,657,355.0,302.0,1314.0,1971.0,-164.2
2024-06-03 09:44:00,18455.44,18455.84,18453.71,18454.81,2493,1295.1,1197.9,4986.0,7479.0,-623.2
2024-06-03 09:45:00,18452.53,18453.07,18450.45,18451.71,1421,686.1,734.9,2842.0,4263.0,-355.2
2024-06-03 09:46:00,18448.69,18448.92,18446.58,18448.47,1151,562.8,588.2,2302.0,3453.0,-287.8
2024-06-03 09:47:00,18447.26,18447.55,18444.75,18446.27,1782,946.7,835.3,3564.0,5346.0,-445.5
2024-06-03 09:48:00,18443.25,18444.22,18440.99,18442.89,2000,1081.0,919.0,4000.0,6000.0,-500.0
2024-06-03 09:49:00,18441.1,18442.05,18439.22,18440.88,957,473.2,483.8,1914.0,2871.0,-239.2
2024-06-03 09:50:00,18438.88,18439.52,18437.42,18438.6,715,400.1,314.9,1430.0,2145.0,-178.8
2024-06-03 09:51:00,18435.66,18436.61,18433.75,18434.9,2329,1271.2,1057.8,4658.0,6987.0,-582.2
2024-06-03 09:52:00,18432.94,18433.52,18430.64,18432.27,1277,686.5,590.5,2554.0,3831.0,-319.2
2024-06-03 09:53:00,18430.03,18430.99,18427.59,18429.5,1415,726.7,688.3,2830.0,4245.0,-353.8
2024-06-03 09:54:00,18427.07,18427.37,18426.28,18426.92,960,485.0,475.0,1920.0,2880.0,-240.0
2024-06-03 09:55:00,18425.03,18425.66,18423.63,18424.87,420,213.7,206.3,840.0,1260.0,-105.0
2024-06-03 09:56:00,18433.83,18435.33,18421.63,18433.08,1800,967.6,1872.8999999999999,3600.0,10583.999999999998,-648.0
2024-06-03 09:57:00,18421.8,18421.97,18419.47,18421.18,842,458.5,383.5,1684.0,2526.0,-210.5
2024-06-03 09:58:00,18418.54,18419.24,18416.76,18418.07,2035,1052.6,982.4,4070.0,6105.0,-508.8
2024-06-03 09:59:00,18415.46,18415.85,18412.5,18414.49,2178,1187.4,990.6,4356.0,6534.0,-544.5
2024-06-03 10:00:00,18411.16,18411.36,18409.12,18410.83,750,408.0,342.0,1500.0,2250.0,-187.5
2024-06-03 10:01:00,18408.43,18408.76,18406.41,18408.35,767,428.7,338.3,1534.0,2301.0,-191.8
2024-06-03 10:02:00,18406.31,18407.1,18404.89,18406.23,440,230.5,209.5,880.0,1320.0,-110.0
2024-06-03 10:03:00,18403.19,18403.6,18402.26,18402.77,1807,924.1,882.9,3614.0,5421.0,-451.8
2024-06-03 10:04:00,18401.05,18401.38,18399.95,18400.9,2354,1260.5,1093.5,4708.0,7062.0,-588.5
2024-06-03 10:05:00,18398.78,18399.3,18395.97,18397.93,1619,815.5,803.5,3238.0,4857.0,-404.8
2024-06-03 10:06:00,18397.15,18397.65,18394.86,18396.31,1858,965.0,893.0,3716.0,5574.0,-464.5
2024-06-03 10:07:00,18393.4,18394.08,18391.37,18392.68,1932,978.9,953.1,3864.0,5796.0,-483.0
2024-06-03 10:08:00,18390.56,18391.22,18389.55,18390.06,1909,997.9,911.1,3818.0,5727.0,-477.2
2024-06-03 10:09:00,18388.88,18389.05,18387.08,18388.24,2464,1335.8,1128.2,4928.0,7392.0,-616.0
2024-06-03 10:10:00,18396.88,18398.38,18385.16,18396.13,2277,1285.8,2230.2000000000003,4554.0,13388.759999999998,-819.648
2024-06-03 10:11:00,18383.19,18383.29,18381.09,18382.76,650,356.6,293.4,1300.0,1950.0,-162.5
2024-06-03 10:12:00,18379.1,18379.37,18377.67,18378.98,1110,586.4,523.6,2220.0,3330.0,-277.5
2024-06-03 10:13:00,18375.83,18376.36,18374.78,18375.78,1031,484.2,546.8,2062.0,3093.0,-257.8
2024-06-03 10:14:00,18372.64,18372.98,18370.43,18372.15,2225,1150.7,1074.3,4450.0,6675.0,-556.2
2024-06-03 10:15:00,18370.38,18370.9,18368.83,18369.84,470,245.1,224.9,940.0,1410.0,-117.5
2024-06-03 10:16:00,18368.54,18368.75,18366.58,18367.69,1776,857.4,918.6,3552.0,5328.0,-444.0
2024-06-03 10:17:00,18365.41,18365.59,18363.56,18364.69,1569,785.6,783.4,3138.0,4707.0,-392.2
2024-06-03 10:18:00,18361.7,18362.11,18360.76,18361.57,2332,1153.2,1178.8,4664.0,6996.0,-583.0
2024-06-03 10:19:00,18360.18,18360.57,18357.58,18359.47,1669,890.8,778.2,3338.0,5007.0,-417.2
2024-06-03 10:20:00,18357.99,18358.37,18356.63,18357.57,1224,645.8,578.2,2448.0,3672.0,-306.0
2024-06-03 10:21:00,18355.46,18355.79,18353.61,18354.67,1002,530.2,471.8,2004.0,3006.0,-250.5
2024-06-03 10:22:00,18353.26,18353.44,18350.73,18352.55,1613,823.8,789.2,3226.0,4839.0,-403.2
2024-06-03 10:23:00,18351.44,18351.78,18349.3,18350.95,477,255.4,221.6,954.0,1431.0,-119.2
2024-06-03 10:24:00,18358.81,18360.31,18346.59,18358.06,1350,699.1,1464.5249999999999,2700.0,7937.999999999999,-486.0
2024-06-03 10:25:00,18344.25,18344.77,18342.32,18343.44,2467,1230.3,1236.7,4934.0,7401.0,-616.8
2024-06-03 10:26:00,18340.75,18341.72,18339.68,18340.19,1104,586.0,518.0,2208.0,3312.0,-276.0
2024-06-03 10:27:00,18337.65,18338.44,18335.68,18337.09,1125,553.1,571.9,2250.0,3375.0,-281.2
2024-06-03 10:28:00,18334.06,18334.64,18332.46,18333.32,696,368.0,328.0,1392.0,2088.0,-174.0
2024-06-03 10:29:00,18330.81,18331.3,18328.34,18330.08,2317,1203.4,1113.6,4634.0,6951.0,-579.2
