timestamp,open,high,low,close,volume,bid_size,ask_size,bid_depth,ask_depth,delta
2024-06-03 09:30:00,18503.0,18505.22,18502.3,18503.43,823,488.8,334.2,2469.0,1646.0,205.8
2024-06-03 09:31:00,18506.05,18507.53,18505.6,18506.84,597,380.6,216.4,1791.0,1194.0,149.2
2024-06-03 09:32:00,18510.01,18512.39,18509.57,18510.65,1345,843.8,501.2,4035.0,2690.0,336.2
2024-06-03 09:33:00,18511.49,18513.76,18510.73,18512.31,877,531.8,345.2,2631.0,1754.0,219.2
2024-06-03 09:34:00,18515.35,18517.91,18515.15,18516.24,1164,730.2,433.8,3492.0,2328.0,291.0
2024-06-03 09:35:00,18517.44,18519.74,18516.48,18518.13,1380,841.5,538.5,4140.0,2760.0,345.0
2024-06-03 09:36:00,18520.08,18521.34,18519.95,18520.55,1841,1111.1,729.9,5523.0,3682.0,460.2
2024-06-03 09:37:00,18523.29,18525.48,18522.59,18523.73,1398,881.9,516.1,4194.0,2796.0,349.5
2024-06-03 09:38:00,18526.5,18528.39,18526.21,18527.31,903,563.9,339.1,2709.0,1806.0,225.8
2024-06-03 09:39:00,18529.3,18530.99,18528.64,18529.31,1833,1083.0,750.0,5499.0,3666.0,458.2
2024-06-03 09:40:00,18532.3,18534.11,18532.16,18532.76,915,551.5,363.5,2745.0,1830.0,228.8
2024-06-03 09:41:00,18534.87,18537.08,18534.24,18535.44,640,404.3,235.7,1920.0,1280.0,160.0
2024-06-03 09:42:00,18538.03,18538.88,18537.59,18538.34,2463,1517.6,945.4,7389.0,4926.0,615.8
2024-06-03 09:43:00,18541.73,18542.56,18541.45,18541.97,850,529.4,320.6,2550.0,1700.0,212.5
2024-06-03 09:44:00,18544.57,18546.8,18543.9,18545.12,1259,792.1,466.9,3777.0,2518.0,314.8
2024-06-03 09:45:00,18547.02,18547.68,18546.3,18547.04,1253,789.1,463.9,3759.0,2506.0,313.2
2024-06-03 09:46:00,18548.44,18549.67,18547.75,18548.94,1440,890.0,550.0,4320.0,2880.0,360.0
2024-06-03 09:47:00,18550.57,18552.24,18550.48,18551.2,1336,793.0,543.0,4008.0,2672.0,334.0
2024-06-03 09:48:00,18554.19,18556.65,18553.93,18555.1,2004,1228.2,775.8,6012.0,4008.0,501.0
2024-06-03 09:49:00,18557.95,18559.3,18557.85,18558.4,2435,1493.2,941.8,7305.0,4870.0,608.8
2024-06-03 09:50:00,18560.83,18561.99,18560.25,18561.03,1548,915.0,633.0,4644.0,3096.0,387.0
2024-06-03 09:51:00,18563.71,18565.58,18563.08,18564.43,771,502.7,268.3,2313.0,1542.0,192.8
2024-06-03 09:52:00,18567.47,18568.68,18567.43,18567.56,776,494.1,281.9,2328.0,1552.0,194.0
2024-06-03 09:53:00,18569.31,18570.8,18569.14,18569.42,1437,864.3,572.7,4311.0,2874.0,359.2
2024-06-03 09:54:00,18572.02,18573.76,18572.0,18572.37,718,430.6,287.4,2154.0,1436.0,179.5
2024-06-03 09:55:00,18575.74,18577.06,18575.25,18575.83,2412,1515.4,896.6,7236.0,4824.0,603.0
2024-06-03 09:56:00,18565.75,18579.66,18564.25,18566.5,1544,2111.3999999999996,605.6,9078.719999999998,3088.0,555.8399999999999
2024-06-03 09:57:00,18579.48,18582.15,18579.34,18580.31,1493,894.7,598.3,4479.0,2986.0,373.2
2024-06-03 09:58:00,18581.41,18583.0,18580.75,18582.08,1933,1203.5,729.5,5799.0,3866.0,483.2
2024-06-03 09:59:00,18582.93,18584.7,18582.9,18583.85,1926,1166.2,759.8,5778.0,3852.0,481.5
2024-06-03 10:00:00,18585.45,18587.99,18585.13,18586.28,825,517.9,307.1,2475.0,1650.0,206.2
2024-06-03 10:01:00,18588.81,18590.97,18588.64,18589.07,2401,1466.8,934.2,7203.0,4802.0,600.2
2024-06-03 10:02:00,18590.66,18593.49,18589.91,18591.65,2175,1343.3,831.7,6525.0,4350.0,543.8
2024-06-03 10:03:00,18594.13,18596.11,18593.47,18594.45,2270,1457.6,812.4,6810.0,4540.0,567.5
2024-06-03 10:04:00,18595.44,18597.08,18594.5,18596.19,2390,1560.7,829.3,7170.0,4780.0,597.5
2024-06-03 10:05:00,18599.61,18600.53,18599.01,18599.76,906,541.7,364.3,2718.0,1812.0,226.5
2024-06-03 10:06:00,18601.26,18604.0,18600.76,18602.04,1310,821.0,489.0,3930.0,2620.0,327.5
2024-06-03 10:07:00,18603.98,18605.63,18603.86,18604.11,702,434.6,267.4,2106.0,1404.0,175.5
